actor,actorLabel,IMDb_ID
http://www.wikidata.org/entity/Q43950,Jacob Artist,nm4498664
http://www.wikidata.org/entity/Q44450,Roger Aaron Brown,nm0114578
http://www.wikidata.org/entity/Q44473,O. J. Simpson,nm0001740
http://www.wikidata.org/entity/Q44857,John Legend,nm1775466
http://www.wikidata.org/entity/Q45338,Günther Kaufmann,nm0442316
http://www.wikidata.org/entity/Q47159,Nate Dogg,nm0230489
http://www.wikidata.org/entity/Q48337,Morgan Freeman,nm0000151
http://www.wikidata.org/entity/Q49735,Johnny Nash,nm0621750
http://www.wikidata.org/entity/Q51566,Spike Lee,nm0000490
http://www.wikidata.org/entity/Q52440,LL Cool J,nm0005112
http://www.wikidata.org/entity/Q52447,RZA,nm0753526
http://www.wikidata.org/entity/Q53549,N.O.R.E.,nm1099891
http://www.wikidata.org/entity/Q55800,Oprah Winfrey,nm0001856
http://www.wikidata.org/entity/Q62766,Jay-Z,nm0419650
http://www.wikidata.org/entity/Q68543,Clarence Clemons,nm0166317
http://www.wikidata.org/entity/Q72832,Cassie Ventura,nm0144260
http://www.wikidata.org/entity/Q93341,Miles Davis,nm0002537
http://www.wikidata.org/entity/Q97291,Kenneth Lee Spencer,nm0818007
http://www.wikidata.org/entity/Q102301,Joe Frazier,nm0004939
http://www.wikidata.org/entity/Q104358,Billie Holiday,nm0390507
http://www.wikidata.org/entity/Q105875,Herbie Hancock,nm0359372
http://www.wikidata.org/entity/Q107008,Count Basie,nm0059831
http://www.wikidata.org/entity/Q109842,Carol Campbell,nm0132269
http://www.wikidata.org/entity/Q1779,Louis Armstrong,nm0001918
http://www.wikidata.org/entity/Q2831,Michael Jackson,nm0001391
http://www.wikidata.org/entity/Q3324,Rufus R. Jones,nm1441761
http://www.wikidata.org/entity/Q4042,CeeLo Green,nm0123741
http://www.wikidata.org/entity/Q4617,Corbin Bleu,nm0088298
http://www.wikidata.org/entity/Q5950,James Brown,nm0113768
http://www.wikidata.org/entity/Q6060,50 Cent,nm1265067
http://www.wikidata.org/entity/Q6078,Dr. Dre,nm0236564
http://www.wikidata.org/entity/Q6096,Snoop Dogg,nm0004879
http://www.wikidata.org/entity/Q6107,Tupac Shakur,nm0000637
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,nm0425005
http://www.wikidata.org/entity/Q11459,Serena Williams,nm1102987
http://www.wikidata.org/entity/Q11617,Aaliyah,nm0004691
http://www.wikidata.org/entity/Q15615,Lil Wayne,nm1211443
http://www.wikidata.org/entity/Q15935,Kanye West,nm1577190
http://www.wikidata.org/entity/Q25278,Dwight Howard,nm2184649
http://www.wikidata.org/entity/Q31013,Patti LaBelle,nm0479458
http://www.wikidata.org/entity/Q34389,Whitney Houston,nm0001365
http://www.wikidata.org/entity/Q36290,Diana Ross,nm0005384
http://www.wikidata.org/entity/Q39965,James Pickens,nm0681782
http://www.wikidata.org/entity/Q40046,Jesse Williams,nm2222264
